Reported Date,ISO3 of Origin,Cumulative arrivals,Cumulative arrivals male,Cumulative arrivals female,Cumulative arrivals AM,Cumulative arrivals UAM,ISO3 of Arrival,Source,Start_date_for_cumulative
31-Dec-17,SEN,18,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,AZE,17,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,HTI,15,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,ZWE,15,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,NPL,13,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,SLE,13,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,LBR,12,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,UGA,12,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,BDI,11,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,COL,9,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,COM,8,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,AGO,7,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,GAB,7,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,MRT,7,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,BOL,5,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,ALB,4,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,SAU,4,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,BIH,3,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,CAF,3,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,IND,3,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,PER,3,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,ESH,3,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,TCD,3,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,BEN,2,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,JAM,2,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,NER,2,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,ARG,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,BRA,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,CUB,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,DJI,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,IDN,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,ISR,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,KEN,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,MWI,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,PRY,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,RWA,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,SWZ,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,TZA,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,VEN,1,,,,,GRC,Hellenic Coast Guard,1/Jan/17
31-Dec-17,MAR,5498,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,DZA,5178,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,GIN,4014,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,CIV,3801,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,GMB,2750,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,SYR,2264,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,CMR,919,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,OOO,639,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,MLI,635,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,GNB,359,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,BFA,350,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,MRT,303,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,SEN,293,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,SLE,236,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,PSE,172,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,YEM,166,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,COD,162,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,COG,149,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,TUN,143,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,LBR,91,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,COM,76,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,GHA,58,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,TCD,57,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,LBN,51,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,BGD,42,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,TGO,33,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,NGA,31,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,CAF,24,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,LKA,24,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,ERI,23,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,GAB,21,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,BEN,20,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,IND,17,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,LBY,17,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,NER,13,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,KEN,12,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,PAK,12,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,SDN,9,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,SSD,6,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,AGO,4,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,GNQ,4,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,MMR,4,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,TZA,4,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,VEN,4,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,SOM,3,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,ZAF,3,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,UGA,3,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,AFG,2,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,EGY,2,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,ETH,2,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,BDI,1,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,PHL,1,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,IRQ,1,,,,,ESP,Ministerio del Interior,1/Jan/17
31-Dec-17,MDG,1,,,,,ESP,Ministerio del Interior,1/Jan/17
